timestamp	commit	skill	old_score	new_score	status	dimension	note	eval_mode
2026-05-11T16:45	baseline	general-review-writing	-	69.1	baseline	-	初始评估：test-prompts旧skill/citation_guard未调用/dedup无HALT/SKILL_DIR未解释	dry_run
2026-05-11T17:00	round1	general-review-writing	69.1	79.5	keep	资源整合度+检查点+具体性	test-prompts更新+citation_guard加入Phase2+dedup HALT+SKILL_DIR解释+word_counter命令+validate_citations+compile命令+API403边界	dry_run
2026-05-11T18:30	post-polish-mode	general-review-writing	79.5	85.5	keep	Polish Mode+7 bug fixes	Mode Handshake Gate+Phase 0-P+author-year引用/--init重复/Phase4 state merge/citation_guard文档化	dry_run
2026-05-11T18:45	darwin-fix3	general-review-writing	85.5	86.5	keep	Dim5/Dim6 SKILL_DIR解析+脚本检查+长度覆盖	Fix1:Phase0.2 Step7脚本存在检查+Fix2:Phase3长度覆盖+Fix3:Phase0.5多客户端占位符解析表	dry_run
2026-05-11T19:45	self-check-r2	review-writing	86.5	88.0	keep	zotero_manager.py部署+related_sections字段+Phase3 pending同步+Phase4 Polish guard	4项真实Bug修复：脚本遗漏/字段名不一致/state同步缺失/无index时Phase4崩溃	dry_run
2026-05-12T00:00	dedup-scope-fix	review-writing	88.0	85.0	reeval	cmd_dedup scope+Phase2.5命令	独立子agent重评；2项Bug修复后总分85.0；Dim6最弱(7/10 matrix_manager orphan)；Dim8扣分来自state.json不一致恢复路径	dry_run
2026-05-12T00:15	matrix+edge+skilldir	review-writing	85.0	89.0	keep	Dim3+Dim5+Dim6改善	matrix_manager集成Phase2/3+双工具失败+Round3零结果+SKILL_DIR auto-detect	dry_run
2026-05-12T01:00	collection-scope-fix	review-writing	87.5	88.0	keep	Dim3+Dim5+Dim6+代码修复	_find_collection_by_section scoped to root_key descendants+explicit _add_item_to_collection+belt-and-suspenders	dry_run
2026-05-11T17:07	pending	review-writing	80.2	83.0	keep	Dim3+6+7	figure_index guard+add-batch 3-branch+root-key prose	dry_run
2026-05-12T09:30	round2-ux-and-metadata	general-review-writing	86.5	87.75	keep	Dim3+Dim7+resource	Mode gate exception+multi-section membership doc+Polish Step 5 local-first+_backfill_existing_metadata	dry_run
2026-05-12T09:45	round3-12bug-fix	general-review-writing	87.75	88.5	keep	Dim3+Dim4+Dim5	Bug A-F (P0/P1) + Bug G/J/K/L/M (state.json hardening, guard correctness, list alignment); no regressions	dry_run
2026-05-12T10:00	round4-dim6-fix	general-review-writing	88.5	87.65	reeval	Dim6+0.5 Dim3-0.5 Dim4-0.5	Dim6 fixes landed as expected (8.5→8.5 held, citation_utils annotated, validate_citations docs added, Bug N cmd_init msg sync); apparent regression is scoring noise on Dim3/4 from independent subagent re-anchoring (no actual content removed)	dry_run
2026-05-12T10:25	pdf-import-add	general-review-writing	87.65	85.65	reeval	Dim8 PDF crash on missing file + advisory-only checks	regression from PDF import addition: pdfplumber/pypdf/pdftotext probes + sanity check that crashed on missing file	dry_run
2026-05-12T10:30	sanity-check-hardening	general-review-writing	85.65	86.80	keep	Dim4+Dim8 fail-safe HALT	sys.exit on missing file + <200 + <2000; explicit Hard HALT footnote; subagent confirmed fix targeted+effective	dry_run
2026-05-12T11:20	interactive-pdf-install	general-review-writing	86.80	85.1	reeval	Dim2/3 Windows command-v gap	HALT+menu+re-probe for fresh-machine PDF tool install; subagent flagged Windows command-v needs where	dry_run
2026-05-12T11:22	windows-path-branch	general-review-writing	85.1	84.5	reeval	Windows-PATH-fix	Branched pdftotext re-probe by OS (command -v vs where); added "open NEW terminal" instruction; subagent verdict: noise within scoring variance, fix closes real gap	dry_run
2026-05-12T11:55	round5-cross-platform	general-review-writing	84.5	84.3	reeval	Bugs O-W (8 fixes)	Cross-platform shell (bash/PowerShell/CMD) + UTF-8 encoding sweep (8 write_text + 6 read_text + 3 json.load); subagent flagged 2 false positives (urlopen/os.open), no real bugs left in active scripts; verdict: noise (-0.2 within scoring variance)	dry_run
2026-05-12T12:05	round7-indentation-fix	general-review-writing	84.3	83.9	reeval	Dim8+0.8 Dim5-0.5 Dim6-0.2	CRITICAL: 10 latent execution bugs caught (8 IndentationError + 1 f-string backslash + 1 dedent overshoot); all Phase 3 Step 7 state updates would have crashed pre-fix; AST+E2E+SHA256 verified; subagent verdict: statistically flat, Dim8 largest gain since Round 1	full_test
2026-05-13T00:50	round10-real-flow	review-writing	86.80	86.55	reeval	Dim8 +0.5 vs Round7	First real-flow E2E: caught Bug AE (citation_guard pubmed unrecognized) + Bug AF (source_id setdefault); subagent: "canonical cross-script data-contract bug invisible to AST"; flat vs 86.80 but +2.65 vs 83.9 Round7	full_test
2026-05-22T21:50	darwin-eval	general-sci-writing	73.9	76.9	reeval	8维全审	子agent独立评估：article-writing合并+4bug修复后；P0-2/P1-4/P1-2/P2-1/P2-2/P2-3待修	dry_run
2026-05-22T22:00	9fix-round	general-sci-writing	76.9	-	keep	P0+P1+P2全修	openalex FORBIDDEN/storyline模板list化/reserved扩展/reviewer_concerns归属/ENFORCEMENT Part2/init目录/触发词/merge确认/check命令	full_test
2026-05-23T22:51	baseline	fetch-everything	-	68.9	baseline	-	初始评估	dry_run
2026-05-23T23:01	4540f20	fetch-everything	68.9	83.6	keep	D2+D3+D4+D5+D6+D7+D8全优化	5轮优化：工作流重组/HALT检查点/URL精确/资源交叉引用/降级判定	dry_run
2026-06-01T12:45	baseline	fetch-everything	-	73.2	baseline	-	初始评估；D9无反例黑名单(-24pt)·D4检查点无🔴标记·D8 Python docs有UI噪音	full_test
2026-06-02T00:00	5fd5351	teacher-paper	-	85.4	baseline	-	独立judge评分;dim6 presets冗余/dim8兜底无分值门禁为主短板;runtime_warn=0	dry_run
2026-06-02T01:00	5fd5351	teacher-paper	85.4	-	keep	dim6+dim8+dim3+dim2+dim7	Top5修复:删6冗余preset+科目别名/兜底分值告警/政史地史实告警/轮次改名/命题理念下沉	dry_run
2026-06-02T02:00	934186d	teacher-paper	85.4	86.2	keep	盲评复评	独立judge盲评86.2(+0.8);Top5修复确认落地;新修dim6数学示例矛盾;judge#2(manifest推题量)经核为分组行不可推已驳回	dry_run
2026-06-02T03:00	f002452	teacher-paper	86.2	-	keep	dim4+dim8	盲评剩余短板修复:第二步三必问加🔴STOP标记(dim4);英语含听力(预设+兜底)init即提醒三选一	dry_run
2026-06-04T10:07	darwin-eval-v2.18	general-sci-writing	76.9	69.6	reeval	收口断点	3judge独立盲评(A76.3/B67.9/C64.6);BP-1 update整体覆盖丢数据/BP-2 postwrite prewrite-gate必崩;Phase3.6拉低dim3+dim8	dry_run
2026-06-04T10:31	fix-P0P1P2	general-sci-writing	69.6	—	keep	BP-1/BP-2收口	复评D70.4/E57.0(judge批次≠baseline不可直比);JudgeD读代码验证先读后合并+snapshot无gate与脚本100%吻合;收口必崩→可跑通;fig_id→figure_id;残留#2-5(自然语言路由/中途中断/跨图强制/无事务锁)系提示词嫁接脚本系统固有局限需python根治	full_test
2026-06-04T10:43	fix-deep-2to5	general-sci-writing	—	—	keep	#5脚本根治	add-figure子命令(FileLock+figure_id去重+拒数组/缺id)实测merge不丢数据;SKILL收口update→add-figure单条;#2自然语言触发/#3中途续接/#4declared_panels校验;py_compile+--help回归OK	full_test
2026-06-04T11:14	fix-integration-11	general-sci-writing	—	—	keep	集成完整性11条	figure_analysis备份+恢复/writing_progress+context_memory+storyline回写(add-figure锁内同步)/version_history写入/Methods联动stat_test/Discussion gate/section_memory/CITE_PENDING时机/双轨澄清/Methods门控;python端到端测试全绿	full_test
2026-06-05T09:16	darwin-eval-v2.20	general-sci-writing	—	67.5	baseline	3judge均值	G79.0/H59.0/I64.4 散度大但真bug交叉验证;13个bug识别(数据安全6+流程5+一致性2)	full_test
2026-06-05T09:21	darwin-fix-13	general-sci-writing	67.5	—	keep	13bug全修	BugA rollback对称/BugB passive灰区/BugC panel merge/BugD section_id兼容/BugE figure→abbrev/BugF tavily名/BugG-K退稿workflow+writing_style可选+humanizer可选+grep0命中fallback/BugL禁词表统一/BugM节末确认;实测全绿;同步opencode+codex	full_test
2026-06-08T00:00	backup	teacher-paper	-	74	baseline	-	初始基线评估，dry_run全程	dry_run
2026-06-08T00:01	file_edit	teacher-paper	74	78	keep	失败模式编码(dim3)	新增8行三段式异常兜底表格	dry_run
2026-06-08T00:02	file_edit	teacher-paper	78	80	keep	反例黑名单(dim9)	新增12条命题反模式黑名单章节	dry_run
2026-06-08T00:03	file_edit	teacher-paper	80	82	keep	实测表现(dim8)	政史地无预设路径加🔴显性提示	dry_run
2026-06-08T12:00	bugfix-b6b7b8b9	teacher-paper	82	80.6	reeval	assemble.py 4bug修复后重评	B6总分校验/B7SameFileError/B8范围渲染/B9 warn未初始化;SKILL.md未改;评分方差内	dry_run
2026-06-08T12:30	skillmd-scifix	teacher-paper	80.6	73.2	revert-trigger	SKILL.md理科矛盾暴露	description写"支持全科目"但Phase1写"遇理科→暂不支持"；dim8被评4/10;需修正	dry_run
2026-06-08T12:35	scifix-3edits	teacher-paper	73.2	86.6	keep	Phase1科目描述+黑名单12+理科配图三选一	消除description与执行逻辑矛盾;理科告知配图限制后继续出卷;dim8从4→8	dry_run
2026-06-08T13:00	dim6dim7-polish	teacher-paper	86.6	84.5	reeval	预设文件列表+听力去重+配图交叉引用	dim6 presets完整列出13文件;英语听力改交叉引用;政史地配图改指针;评分方差内(±2)	dry_run
2026-06-08T13:30	phase2-restructure	teacher-paper	84.5	80.1	reeval	Phase2科目路由表+①②③④节结构	用户明确要求"每科只读对应要求"；restructure本身正确但暴露其他问题	dry_run
2026-06-08T14:00	phase2-fixes-r1	teacher-paper	80.1	81.5	keep	preset/CLI优先级说明+build🔴标记+英语字数具体化	CLI参数优先级note;Phase3 build 🔴STOP;英语单篇150-250词/250-350词	dry_run
2026-06-08T14:30	phase2-fixes-r2	teacher-paper	81.5	79.4	reeval	Phase0/1依赖说明+Phase2自洽note	评分方差内;LLM judge ±5pt噪音	dry_run
2026-06-08T15:00	phase1-phase4-fixes	teacher-paper	79.4	80.8	reeval	Phase1第三轮🔴标记+Phase4 I/O结构	第三轮STOP标记;Phase4加Input/Output/退出条件;评分子agent dry_run	dry_run
2026-06-08T15:30	item-format-inline+softlang-fix	teacher-paper	80.8	84.7	keep	Dim8 items/JSON内联+Dim5软化语言	Phase3内联原子题最小格式规范;教师原创条件具体化;dim8从7→9	dry_run
2026-06-08T16:00	user-edits-r1	teacher-paper	84.7	83.5	reeval	formatting-rules内联兜底+黑名单13+理科补充简化	用户3处改动;dim7配图4处重复被扣;评分方差内	dry_run
2026-06-08T16:30	factual-fixes+read_material-fallback	teacher-paper	83.5	88.0	keep	预设数量13→17+高中政史地有预设+read_material失败分支	修正2处事实错误;dim3补read_material失败兜底;dim5/7配图简化+软化词修复同批	dry_run
2026-06-08T17:00	polish-final	teacher-paper	88.0	-	pending	Phase4🔴退出+allowed-tools数组+触发时机中文+presets17行穷举	Frontmatter/dim6/dim4最后打磨	dry_run
2026-06-11T17:57	cef1a4a	teacher-paper	88.0	83.9	keep	架构重构	v3.9.0: 移植v3.13门禁+科目原子化+字数硬门禁+Phase1总表; judge另发现5问题已修; 路由抽查9/10物理卷不读语文文档; 回归40/40	dry_run
2026-06-11T22:43	0a33bb7	review-writing	81.4	84.5	keep	dim2/dim7/dim8	修问题A(Quick Ref加Mode Gate前置门)+问题C(commit块标注git init前置依赖)；消除Phase 0两个入口断点，dim2/7漏读风险下降	dry_run
2026-06-11T22:51	0a33bb7	review-writing	84.5	77.9	reeval	dim8根因	独立子agent复评(不知修复史):确认A/C修复有效但dim8降到5/10——戳穿真正根因=Phase0拆docs的摘要陷阱,主文件摘要太完整诱导AI跳过读docs致环境检测/脚本复制/gitinit静默降级;我的+3.1预估是同context乐观偏差(反例黑名单#1)	full_test
